rpoC
amn
guaC
hemX
glgC
metC
selD
murE
cysS
metB
mnmE
araF
aroD
rmlA
flu
uxuA
frmA
gatC
nfnB
purF
ppk
cysH
cysA
cysD
glpQ
argA
rlmN
avtA
selB
tpx
hns
moaB
arcA
rplY
dksA
grxB
fadL
atpF
lrp
ihfA
uspF
rplK
uspG
rpsI
qorA
dapA
cysQ
stpA
yifE
ytfQ
yhcB
purU
ydfG
psd
ydbC
curA
ybiB
bamB
yghU
nagB
sufS
cysM
accD
ppiA
ybiC
fadD
proQ
bamD
yghA
sohB
trpC
argC
pepT
rdgC
gss
uxaC
ubiD
manZ
kdgR
dhaM
dppD
rsgA
cpdB
selA
glnD
ddlA
hflX
cysB
phoU
yfeX
nuoE
mdtE
hmp
yniC
relA
dppF
fdhE
lpp
uspA
pal
rpsJ
rplX
rplD
yajQ
rplQ
ppa
rpsM
ycaC
potF
rplN
artJ
hchA
dsbA
cyoB
folD
rpiA
ybaB
purM
ybhC
sseA
yidC
sufC
pyrF
yggX
cydA
sufB
ybeL
fmt
nlpA
lptB
murC
aroC
narL
btuE
suhB
yejK
pspA
ghrA
gstA
lsrF
thrB
murF
yhhX
ygdH
xthA
fadA
pstS
dsbC
rsmH
hdhA
aroK
gstB
nagC
ltaE
hemC
rsmI
hemY
mrcB
dadA
lexA
ubiG
ilvN
dnaB
fadJ
mdoB
yhbJ
leuD
uup
ydcJ
fadH
yaaA
hrpA
oppD
fadI
entC
mqo
dsdA
rimO
csiD
ydeN
nadA
fliC
osmY
ompX
rplJ
rplM
slyB
pyrI
osmE
atpC
fur
can
mscS
yccU
yieF
ybiS
rplS
yaeH
yeaD
cdd
elbB
lldD
mlaD
rcsB
mrp
glyQ
sbp
nagA
yihI
rsuA
nagD
yhbO
glgP
greA
speD
yceI
ilvH
metA
cueO
hpt
nrdB
ribC
yqjG
fre
iscU
yrdA
yidA
wbbI
glgX
msrB
ydbK
ygiC
entB
modF
mrcA
cusS
hscB
ftsN
znuA
gatD
mdtA
ucpA
rbsA
yhiI
rpoS
ycdX
livG
udk
xylB
ycbX
mnmG
xylF
lipA
pcnB
frdA
argI
nuoB
malK
bioB
oppF
osmC
rplL
rplI
efp
clpP
slyD
gadC
ilvE
yceF
ribE
rpoZ
ppiB
ybbN
ndk
yfiF
ycfD
speB
ybgF
dcyD
yedD
rpmD
ysgA
rpmB
apt
moeA
cstA
hisH
yniA
hisA
nusB
yeiP
proC
iciA
cobB
hemB
folC
pyrH
cbpA
tatB
yebF
ftnA
yfgM
prpB
kdsB
usg
rnc
rsmC
rpoN
nlpD
ppsR
ydhF
fdx
entA
grcA
nudE
ribA
ddpA
tdh
cra
spy
actP
ygiM
rlmL
pdxA
arcB
add
glnE
gldA
fruK
coaA
gpmB
tsaD
ybdH
rbsK
dusA
speC
malQ
ruvB
epd
treC
sdaB
nirB
elaB
rplV
groS
fldA
ridA
secB
skp
rpmE
ybgI
ihfB
pdxJ
rplO
mtnN
fabZ
rodZ
nfuA
ivy
mipA
ssb
yhhA
fabA
gpt
yiaF
ydjN
cpxR
lptA
metN
glgA
secY
rbfA
cmk
yebC
ldhA
ddlB
yqjH
fruA
gatB
otsA
slyA
loiP
ygiN
dnaN
entE
yfcD
hisF
yibN
solA
mprA
orn
corA
lysA
nfo
yeeZ
yjdC
iscR
yqfB
ribB
minE
dkgB
mnmA
rclA
gatA
speE
iadA
ftsE
potA
rlmJ
aroH
yhfA
cmoA
mdoH
lolB
yiiD
rluD
baeR
appA
rimM
truD
rlmB
glnG
parC
mgtA
purK
yciK
yjiA
ydcF
mepS
galT
mdaB
glpT
yecA
rob
fucO
livF
puuA
yigB
fadR
aroB
wecB
azoR
rihA
rstA
rihC
yfiQ
exbD
modE
dnaA
dapE
gutQ
cusR
rlmM
mdoD
ptrA
miaA
spoT
ftsK
dhaL
speG
puuC
yedE
truB
mukF
nanA
mrr
hyaB
trxA
slp
ygiW
ptsH
ybjP
rpsS
rpsU
clpB
eda
fklB
yggE
yajG
accB
yciO
sodB
sodC
zapB
seqA
proP
lsrB
cusF
yciF
yraP
yegP
yfcE
ptsN
engB
menB
tatA
kdgK
glnQ
gmk
amyA
gpsA
metJ
pitA
ypfJ
rlmI
pdxH
yigL
secF
bioA
ansA
exbB
ydeI
lolD
moaC
yajL
cysE
yibF
yiaD
yfcH
rimP
pth
obgE
cydC
yjgA
eco
bepA
rcnR
nnr
rfbD
kgtP
rcsD
yihD
ribD
yqiC
mppA
crl
yhjJ
msbA
yhhW
mug
astC
ydhQ
ybdK
yjiY
rdgB
iaaA
cysC
ribF
glpX
yadG
alaC
folP
ydhS
lepB
nuoI
yebE
tar
ptsP
dadX
yfcF
ybfF
cydD
yggS
ycaO
sspB
yhjG
malM
ppx
yqgE
nrdR
pflA
ycfH
sppA
trmD
mntR
tonB
queF
envC
mutS
yagH
mscM
tmk
ycgL
rng
mscK
yceM
yeaK
ydcT
yqeF
JW58
hypB
lasT
garD
sgcX
alaA
yagE
proV
garR
nemA
cfa
hsdR
puuD
dgoD
nanK
fdoH
ybhA
hupA
rpsP
rplP
rpsT
ydjA
rpsK
grxC
rplU
raiA
rplR
rpsL
purE
yeeN
uspD
gntR
hinT
tsx
gloA
yibL
msrC
msrA
ybaK
ispF
ynhG
prmB
hfq
hisI
rcsF
lolA
grxD
yfbT
lpxA
tehB
ybhB
glnB
yceD
folX
tam
def
tldD
prmA
fhuE
mpl
moaE
glcG
ygjR
nlpI
pliG
bioD
smpB
proX
mlaA
tsaC
prkB
tsaE
mak
rsmG
ycbL
ytfE
rpoE
folA
osmF
yidR
queA
rbsD
yciE
ymdB
mtfA
ybhG
yeaH
fpr
yihX
zapD
frdB
ybaL
pcm
ispE
ycgM
yiiM
allR
rsmA
wzzE
nudC
helD
queC
ycbZ
ydcY
bioF
nupC
ravA
hisP
yggN
rseB
ibpA
murG
wecC
degS
xseA
yejM
yhjE
ppiC
macA
dctA
rsd
hemN
yrfF
eptC
yecJ
hemG
wbbK
queE
aphA
parE
yjaG
asmA
nadB
narP
puuE
nrdE
apaH
ung
yebT
murQ
emrA
nrdD
rffG
mukE
lpxB
bisC
kdsD
ybiU
yeiR
mhpR
cpxP
yceA
dmsA
alsB
pstB
hha
zntA
glnL
yqaB
ftsI
acpP
rpsO
yqjD
ybaY
yahO
rpmC
cspC
hupB
msyB
hdeB
rpmA
rpmG
rpmF
rpsQ
yjbJ
yagU
zipA
hpf
rpsN
mscL
rplT
nudK
rraA
glsA
yciI
ydhR
yccJ
infA
yoaB
lpoB
rplW
yjbR
ychN
artP
yceB
lptE
rlpA
cspE
yhbS
tas
glpF
trmB
ugpQ
zapA
tesB
yccX
nikR
yecC
erfK
xseB
yeaY
gph
yaeP
gloB
yaiA
csdE
glgB
tolQ
gmhB
fkpB
purN
ycdY
htpX
nanR
thyA
dsbG
rsmB
sstT
qorB
gcvR
fnr
pdxK
yicH
yeaO
ispH
tamA
mmuM
ydgJ
yedP
ybcJ
diaA
minC
yecM
yigI
trkA
prfA
sdaC
serB
cpxA
rna
lpxC
ymjA
ydiI
putP
ybeD
ytfB
yafJ
nagZ
aroL
dosC
nudF
ispD
pncC
yhbW
iscA
msbB
murI
rluB
pdhR
aroM
cca
uvrD
yfcL
eutB
codB
cspD
zur 
yeiE
radA
feaB
cutC
mlc
glcC
evgA
argF
ugpC
clsA
nfsA
gppA
ubiC
ydeJ
tsaB
ytfJ
pepE
mreC
nrdF
uvrY
glnP
potG
mutL
yihW
yecD
patA
nanE
paaX
yehS
narG
agaR
glpB
srlB
fucI
dinJ
ibpB
ubiI
melA
yciW
mog
birA
lrhA
trmH
modC
rhlE
xylG
rpsR
yggL
yjeI
yfcZ
yiiS
yifL
dut
secG
atpB
iraP
moaD
ygfB
yebY
hslV
gnsB
yidB
csrA
yodD
yebV
cpdA
ynfB
dcd
yfgD
yheO
nuoA
dcuA
fepB
ygaP
rlmE
cspA
kdsC
psiF
ycaR
tesA
yidQ
mlaB
kch
yfaY
otsB
yciN
yggT
sseB
aroE
yeiG
lptF
fucU
trmJ
blc
chbB
lpxD
frmR
tatC
cycA
gsk
gltL
cydB
slmA
coaE
trpR
panD
ldcA
ybhL
cmoB
eutL
yciT
lptG
ybiV
rsmE
trmA
yegH
yfdI
yhdE
ftsP
ldcC
mraZ
rfbC
lplA
rnk
adeP
livM
nlpE
prlF
cysG
lsrK
aroP
hdeD
yffB
fecA
gsiA
murD
pspE
yqjI
ygiB
yjjV
recR
rimL
ubiF
ftsX
rffA
ybiX
era
pldA
cobT
nadR
secE
dnaE
waaA
yffS
ubiX
mlaF
ybbP
plsC
dnaX
nuoH
yqgF
ade
rlmH
ynjE
dnaG
pdxY
dcm
hexR
ratB
hypE
ampC
oppB
hycI
murB
sad
fliG
mltA
yicI
yncD
adhP
arnB
ydcI
hsdS
menC
uxuB
amiA
dgoR
yojI
psuG
rlmA
paaY
sgcQ
ybdL
ydjY
aceK
rep
yigP
yedV
kefC
tauA
ybgK
nirD
yegD
yjbB
hybC
ylaC
yebO
hycA
narJ
pyrE
cheW
epmB
tsr
hdeA
rraB
rpmH
bamE
yajC
ygdI
ybgS
gadA
yjcE
mioC
ygaM
sra
ytfP
yaiE
bhsA
yibT
mgsA
gcvH
aidB
metI
rcnB
rof
bolA
yegS
erpA
yoaE
yaeR
gnsA
yhbY
oppC
fldB
creA
sdhC
yohF
phnB
thiL
trxC
amiD
gsiC
yccF
anmK
yhfG
pnuC
fsaA
phnA
pspB
addB
tolR
ydiH
surE
yddE
hslR
betB
sbcC
tsaA
cysU
hiuH
queD
glnK
rnt
yhjD
rsxG
yieP
yedF
sufA
hflD
fepC
lolC
glpR
lnt
mraY
ymbA
hslJ
cyoC
manY
dmsD
qmcA
borD
fis
slyX
yfcN
idi
zntB
rsmD
tolA
mnaT
treB
yajD
ypeA
yciG
ycjX
yfdC
yedQ
nadD
mdtK
yrbA
nudJ
coaD
cyaY
yiaJ
yobA
pabB
yjjA
focA
yhhM
fadM
sapA
ydcH
plsX
glcD
proW
fetA
hisQ
holD
deoR
yafK
ycgB
bioH
entH
yahJ
ydjF
pspF
phoQ
rdoA
yhjK
eutC
zapE
bcsG
ynbE
ylbA
bioD
uidA
ompW
chaB
rnhA
baeS
cutA
rlmF
yfbR
ybbA
yceG
ybjS
rbsC
rssB
hemE
feoB
hemH
pqqL
alr
uvrC
dnaT
relB
rimI
yjhU
aas
dacB
rnpA
ebgR
rfaY
puuR
glcA
basR
lhgO
frlR
ttcA
ansB
yafC
kdpD

ydiZ
srlR
yqjA
gcvA
appC
cysW
exuR
nagK
dsbB
metR
barA
csdA
wecF
ybjI
rpiB
cnu
ptrB
dgt
sdhD
maa
lsrA
astD
dnaQ
rsfS
lsrG
eptB
flgH
xylR
cheY
cytR
fes
ydfZ
yeiU
yebG
rseP
uhpA
atoC
tdk
tnaB
iclR
srlE
fhuF
rph
rluF
ilvG
dedD
fliA
amiB
rsxC
eutM
rnhB
cheA
yddH
yqcA
fucR
ubiB
sdaA
yqcC
ftsL
pgaB
glcF
ycfS
yqjE
shiA
ybjX
yrdD
mglC
asr
malF
fdoI
gltP
hyaA
glpC
preT
rarA
ecnB
osmB
rpmJ
argR
ybeY
cgtA
yecS
yjfP
cdsA
atpE
yejL
ybdZ
ghxP
tusA
wbbJ
mpaA
yqiA
elaA
yhcO
mltB
sufE
yjgM
yciS
emtA
ycjF
rsmJ
ypdB
hicB
chaA
yecF
nuoK
ybgJ
mltC
yraR
rpmI
ybbO
potC
folB
nuoN
btuR
folM
racR
lptC
chpB
yciA
mdtF
yciH
gntK
ycgJ
cas1
ybhP
gadB
ychH
ycjW
glpE
mqsA
ybjQ
rfaH
yfhG
trmL
tamB
yeaR
rmlA
sixA

matP
yfcG
sbmA
ydaM
yaiL
ispB
rbn
grxA
phoB
dppC
acpS
yedY
mazG
ydhZ
ybiJ
apaG
tusC
bdcR
ypfH
rpiR
ynjB
yeaC
mobA
uxuR
yjbD
mnmC
yfiH
dicA
rseA
nudL
nfi
yaiI
lolE
dinI
thiB
yedK
cueR
greB
rsmF
treR
yeaJ
yrbL
cohE
yciC
yggU
yeeD
cbl
pheP
cvrA
lpxK
mobB
yidE
nuoM
ydfW
yifK
yhaM
agaV
ftsB
holB
lipB
yefM
pncA
ycaP
yfeA
hemD
ycgE
dtd
recC
menF
ygeR
cvpA
ulaR
yiiQ
priB
waaU
recG
ygeA
ispA
ybiI
gudD
ybgL
ygbT
rlmG
yfgJ
xerD
pmrD
rmf
fdhD
yfeY
tatE
ytfR
yeeE
yaiW
rcsC
mhpE
yraQ
garL
xylE
yjjG
yhdP
paaJ
ypeB
ydeH
amtB
ytfL
ybhK
nikC
arsC
yoaC
cyoD
ynaI
mutY
hybD
ynfD
rlmD
yfeC
mrdA
rstB
ygeV
xerC
ydbL
paaC
rmuC
ychJ
yddM
fliF
paaB
fimC
yacG
yggW
yfiB
ybaQ
mutM
rfaL
rspA
lgt
dusB
dcuR
yehT
yecE
acrR
arnA
yfdH
fliJ
flgM
ampE
creB
zraP
holC
malZ
comR
uhpT
ygdG
yhaJ
ybdD
sbcD
yigA
uxaB
fxsA
nuoL
dtpA
dppB
yehU
paaK
syd
ybjN
nadK
gatR
wzc
intF
yhhK
yciB
amiC
mepA
glcE
paaE
narH
ykgE
zinT
tilS
clpB
feoA
ybjT
ydiE
hemA
topB
soxR
yaeQ
nth
priC
ykgG
